年度,球団,左右,選手名,試合数,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打
2016,東京ヤクルト,右,秋吉　亮,70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016,東京ヤクルト,右,新垣　渚,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2016,東京ヤクルト,右,荒木　貴裕,61,131,111,14,27,5,1,1,37,9,2,1,9,0,9,0,2,20,5
2016,東京ヤクルト,右,飯原　誉士,63,77,67,11,15,3,0,3,27,9,0,0,1,0,8,0,1,19,2
2016,東京ヤクルト,左,石川　雅規,20,39,34,0,1,0,0,0,1,0,0,0,4,0,1,0,0,12,1
2016,東京ヤクルト,右,石山　泰稚,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,右,井野　卓,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,東京ヤクルト,左,今浪　隆博,94,240,201,22,56,9,3,1,74,28,0,1,3,4,30,0,2,25,3
2016,東京ヤクルト,左,岩橋　慶侍,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,左,上田　剛史,72,92,82,12,18,2,1,1,25,10,5,3,1,2,4,0,3,13,1
2016,東京ヤクルト,右,鵜久森　淳志,46,146,136,7,35,4,1,4,53,19,0,0,1,0,9,0,0,22,4
2016,東京ヤクルト,右,オンドルセク,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,右,大引　啓次,100,391,348,48,87,16,1,5,120,27,7,5,2,1,40,0,0,82,5
2016,東京ヤクルト,右,小川　泰弘,25,54,50,4,4,1,0,1,8,3,0,0,4,0,0,0,0,26,0
2016,東京ヤクルト,左,奥村　展征,4,8,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1
2016,東京ヤクルト,右,風張　蓮,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,東京ヤクルト,左,川端　慎吾,103,458,420,48,127,22,1,1,154,32,3,0,1,2,34,0,1,31,13
2016,東京ヤクルト,右,木谷　良平,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
